[2018-04-04 09:57:22,944] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-04 09:57:23,053] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-04 09:57:23,165] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-04 09:57:23,471] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-04 09:57:23,647] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-04 09:57:23,901] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-04 09:57:24,160] - logger.py] - INFO: 手机号为17688169411的用户，登录成功!
[2018-04-04 09:57:24,551] - logger.py] - INFO: 退出登录成功！
[2018-04-04 09:57:24,659] - logger.py] - INFO: 进入PHP考场成功!
[2018-04-04 09:57:24,763] - logger.py] - INFO: 进入web考场成功!
[2018-04-04 09:57:25,016] - logger.py] - INFO: 进入C++考场成功!
[2018-04-04 09:57:25,435] - logger.py] - INFO: 首页请求成功！
[2018-04-04 09:57:25,857] - logger.py] - INFO: 首页存在C++考场！
[2018-04-04 09:57:25,858] - logger.py] - INFO: 首页存在web考场！
[2018-04-04 09:57:25,859] - logger.py] - INFO: 首页存在PHP考场！
[2018-04-04 09:57:26,066] - logger.py] - INFO: 进入PHP考场成功！
[2018-04-04 09:57:26,175] - logger.py] - INFO: 进入web考场成功！
[2018-04-04 09:57:26,484] - logger.py] - INFO: 进入C++考场成功！
[2018-04-04 09:57:26,840] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-04-04 09:57:27,025] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-04-04 09:57:27,196] - logger.py] - INFO: 所有资讯，共有28条
[2018-04-04 09:57:27,451] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
[2018-04-04 10:00:46,858] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-04 10:00:47,137] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-04 10:00:47,314] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-04 10:00:47,470] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-04 10:00:47,579] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-04 10:00:47,676] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-04 10:00:47,881] - logger.py] - INFO: 手机号为17688169411的用户，登录成功!
[2018-04-04 10:00:48,103] - logger.py] - INFO: 退出登录成功！
[2018-04-04 10:00:48,268] - logger.py] - INFO: 进入PHP考场成功!
[2018-04-04 10:00:48,514] - logger.py] - INFO: 进入web考场成功!
[2018-04-04 10:00:48,737] - logger.py] - INFO: 进入C++考场成功!
[2018-04-04 10:00:48,950] - logger.py] - INFO: 首页请求成功！
[2018-04-04 10:00:49,059] - logger.py] - INFO: 首页存在C++考场！
[2018-04-04 10:00:49,060] - logger.py] - INFO: 首页存在web考场！
[2018-04-04 10:00:49,060] - logger.py] - INFO: 首页存在PHP考场！
[2018-04-04 10:00:49,212] - logger.py] - INFO: 进入PHP考场成功！
[2018-04-04 10:00:49,404] - logger.py] - INFO: 进入web考场成功！
[2018-04-04 10:00:49,619] - logger.py] - INFO: 进入C++考场成功！
[2018-04-04 10:00:49,781] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-04-04 10:00:50,113] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-04-04 10:00:50,229] - logger.py] - INFO: 所有资讯，共有28条
[2018-04-04 10:00:50,404] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
