[2018-04-10 11:15:17,745] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-10 11:15:18,043] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-10 11:15:18,161] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-10 11:15:18,256] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-10 11:15:18,353] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-10 11:15:18,527] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-10 11:15:19,133] - logger.py] - INFO: 进入PHP考场成功!
[2018-04-10 11:15:19,340] - logger.py] - INFO: 进入web考场成功!
[2018-04-10 11:15:19,543] - logger.py] - INFO: 进入C++考场成功!
[2018-04-10 11:15:19,849] - logger.py] - INFO: 首页请求成功！
[2018-04-10 11:15:19,947] - logger.py] - INFO: 首页存在C++考场！
[2018-04-10 11:15:19,948] - logger.py] - INFO: 首页存在web考场！
[2018-04-10 11:15:19,948] - logger.py] - INFO: 首页存在PHP考场！
[2018-04-10 11:15:20,042] - logger.py] - INFO: 进入PHP考场成功！
[2018-04-10 11:15:20,253] - logger.py] - INFO: 进入web考场成功！
[2018-04-10 11:15:20,378] - logger.py] - INFO: 进入C++考场成功！
[2018-04-10 11:15:20,597] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-04-10 11:15:21,019] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-04-10 11:15:21,200] - logger.py] - INFO: 所有资讯，共有28条
[2018-04-10 11:15:21,429] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
