[2018-03-28 16:23:36,927] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-03-28 16:23:37,298] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-03-28 16:23:37,698] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-03-28 16:23:38,268] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-03-28 16:23:38,818] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-03-28 16:23:39,239] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-03-28 16:23:39,359] - logger.py] - INFO: 手机号为17688169411的用户，登录成功!
[2018-03-28 16:23:39,619] - logger.py] - INFO: 退出登录成功！
[2018-03-28 16:23:40,369] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-28 16:23:40,929] - logger.py] - INFO: 进入web考场成功!
[2018-03-28 16:23:41,330] - logger.py] - INFO: 进入C++考场成功!
[2018-03-28 16:23:41,720] - logger.py] - INFO: 首页请求成功！
[2018-03-28 16:23:41,960] - logger.py] - INFO: 首页存在C++考场！
[2018-03-28 16:23:41,960] - logger.py] - INFO: 首页存在web考场！
[2018-03-28 16:23:41,960] - logger.py] - INFO: 首页存在PHP考场！
[2018-03-28 16:23:42,470] - logger.py] - INFO: 进入PHP考场成功！
[2018-03-28 16:23:42,570] - logger.py] - INFO: 进入web考场成功！
[2018-03-28 16:23:42,676] - logger.py] - INFO: 进入C++考场成功！
[2018-03-28 16:23:43,486] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-03-28 16:23:44,467] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-03-28 16:23:44,687] - logger.py] - INFO: 所有资讯，共有28条
[2018-03-28 16:23:45,638] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
