[2018-04-07 10:25:30,981] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-07 10:25:31,107] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-07 10:25:31,234] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-07 10:25:31,359] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-07 10:25:31,485] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-07 10:25:31,594] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-07 10:25:31,734] - logger.py] - INFO: 手机号为17688169411的用户，登录成功!
[2018-04-07 10:25:31,846] - logger.py] - INFO: 退出登录成功！
[2018-04-07 10:25:31,967] - logger.py] - INFO: 进入PHP考场成功!
[2018-04-07 10:25:32,097] - logger.py] - INFO: 进入web考场成功!
[2018-04-07 10:25:32,221] - logger.py] - INFO: 进入C++考场成功!
[2018-04-07 10:25:32,376] - logger.py] - INFO: 首页请求成功！
[2018-04-07 10:25:32,502] - logger.py] - INFO: 首页存在C++考场！
[2018-04-07 10:25:32,503] - logger.py] - INFO: 首页存在web考场！
[2018-04-07 10:25:32,504] - logger.py] - INFO: 首页存在PHP考场！
[2018-04-07 10:25:32,626] - logger.py] - INFO: 进入PHP考场成功！
[2018-04-07 10:25:32,754] - logger.py] - INFO: 进入web考场成功！
[2018-04-07 10:25:32,877] - logger.py] - INFO: 进入C++考场成功！
[2018-04-07 10:25:33,003] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-04-07 10:25:33,125] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-04-07 10:25:33,249] - logger.py] - INFO: 所有资讯，共有28条
