[2018-04-19 11:18:42,816] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-19 11:18:43,561] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-19 11:18:43,832] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-19 11:18:43,936] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-19 11:18:44,046] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-19 11:18:44,330] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-19 11:18:45,162] - logger.py] - INFO: 进入PHP考场成功!
[2018-04-19 11:18:45,394] - logger.py] - INFO: 进入web考场成功!
[2018-04-19 11:18:45,888] - logger.py] - INFO: 进入C++考场成功!
[2018-04-19 11:18:46,021] - logger.py] - INFO: 首页请求成功！
[2018-04-19 11:18:46,118] - logger.py] - INFO: 首页存在C++考场！
[2018-04-19 11:18:46,119] - logger.py] - INFO: 首页存在web考场！
[2018-04-19 11:18:46,119] - logger.py] - INFO: 首页存在PHP考场！
[2018-04-19 11:18:46,320] - logger.py] - INFO: 进入PHP考场成功！
[2018-04-19 11:18:46,650] - logger.py] - INFO: 进入web考场成功！
[2018-04-19 11:18:46,882] - logger.py] - INFO: 进入C++考场成功！
[2018-04-19 11:18:47,091] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-04-19 11:18:47,333] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-04-19 11:18:47,563] - logger.py] - INFO: 所有资讯，共有28条
[2018-04-19 11:18:47,701] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
[2018-04-19 11:20:02,888] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-19 11:20:23,054] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-19 11:20:23,181] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-19 11:20:23,571] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-19 11:20:23,826] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-19 11:20:24,040] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-19 11:20:24,356] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-19 11:20:25,068] - logger.py] - INFO: 进入PHP考场成功!
[2018-04-19 11:20:25,225] - logger.py] - INFO: 进入web考场成功!
[2018-04-19 11:20:25,437] - logger.py] - INFO: 进入C++考场成功!
[2018-04-19 11:20:25,858] - logger.py] - INFO: 首页请求成功！
[2018-04-19 11:20:26,160] - logger.py] - INFO: 首页存在C++考场！
[2018-04-19 11:20:26,161] - logger.py] - INFO: 首页存在web考场！
[2018-04-19 11:20:26,162] - logger.py] - INFO: 首页存在PHP考场！
[2018-04-19 11:20:26,462] - logger.py] - INFO: 进入PHP考场成功！
[2018-04-19 11:20:26,767] - logger.py] - INFO: 进入web考场成功！
[2018-04-19 11:20:26,986] - logger.py] - INFO: 进入C++考场成功！
[2018-04-19 11:20:27,099] - logger.py] - INFO: 这是考试资讯，共有21条
[2018-04-19 11:20:27,221] - logger.py] - INFO: 这是课程资讯，共有7条
[2018-04-19 11:20:27,501] - logger.py] - INFO: 所有资讯，共有28条
[2018-04-19 11:20:27,702] - logger.py] - INFO: 用户信息获取成功，当前用户为：liyihang
[2018-04-19 11:21:12,683] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
[2018-04-19 11:21:13,026] - logger.py] - INFO: 注册失败，手机号不能为空！
[2018-04-19 11:21:13,385] - logger.py] - INFO: 注册失败，密码不能为空！
[2018-04-19 11:21:13,503] - logger.py] - INFO: 注册失败，手注册类型不能为空！
[2018-04-19 11:21:13,738] - logger.py] - INFO: 注册失败，邮箱不能为空！
[2018-04-19 11:21:13,986] - logger.py] - INFO: 注册失败，用户名不能为空！
[2018-04-19 11:22:29,007] - logger.py] - INFO: 注册成功，手机号为：17688169420
[2018-04-19 11:22:52,886] - logger.py] - INFO: 注册成功，手机号为：17688169425
[2018-04-19 11:23:18,460] - logger.py] - INFO: 注册成功，手机号为：17688169425
[2018-04-19 11:23:32,196] - logger.py] - INFO: 注册成功，手机号为：17688169411
